Year,Month,Sector,Quantity,UNIT
2005,August,Industrial,5504.181443551178,GWh
2005,August,Government & Non-Profit,333.946555,GWh
2005,August,Agriculture,18.296106,GWh
2005,August,Other,160.32312028729524,GWh
2005,August,Free of Charge,104.191097,GWh
2005,September,Residential,2138.334431,GWh
2005,September,Business,1939.0119897997358,GWh
2005,September,Industrial,5522.3837438196915,GWh
2005,September,Government & Non-Profit,359.517157,GWh
2005,September,Agriculture,10.465815,GWh
2005,September,Other,139.88050894503237,GWh
2005,September,Free of Charge,105.05958,GWh
2005,October,Residential,2176.032976,GWh
2005,October,Business,1947.492273011476,GWh
2005,October,Industrial,5653.896179283056,GWh
2005,October,Government & Non-Profit,314.650123,GWh
2005,October,Agriculture,13.376761,GWh
2005,October,Other,170.78871609861469,GWh
2005,October,Free of Charge,110.257575,GWh
2005,November,Residential,2036.477091,GWh
2005,November,Business,1907.3533727020433,GWh
2005,November,Industrial,5475.710352309401,GWh
2005,November,Government & Non-Profit,308.384786,GWh
2005,November,Agriculture,11.497776,GWh
2005,November,Other,164.7631221837225,GWh
2005,November,Free of Charge,108.419979,GWh
2005,December,Residential,1856.649265,GWh
2005,December,Business,1777.769480510047,GWh
2005,December,Industrial,5213.092394002826,GWh
2005,December,Government & Non-Profit,276.41259,GWh
2005,December,Agriculture,15.474702,GWh
2005,December,Other,165.3596626172698,GWh
2005,December,Free of Charge,110.218892,GWh
2006,January,Residential,1888.102773,GWh
2006,January,Business,1860.9058272290272,GWh
2006,January,Industrial,5206.525348506227,GWh
2006,January,Government & Non-Profit,273.842657,GWh
2006,January,Agriculture,27.593315,GWh
2006,January,Other,144.44270014542508,GWh
2006,January,Free of Charge,115.92783429,GWh
2006,February,Residential,1958.184299,GWh
2006,February,Business,1860.9894422698399,GWh
2006,February,Industrial,5252.872530653206,GWh
2006,February,Government & Non-Profit,289.073835,GWh
2006,February,Agriculture,32.848124,GWh
2006,February,Other,147.4982709886296,GWh
2006,February,Free of Charge,110.86073475,GWh
2006,March,Residential,2321.091528,GWh
2006,March,Business,2179.9304950977166,GWh
2006,March,Industrial,6023.14051731922,GWh
2006,March,Government & Non-Profit,342.412865,GWh
2006,March,Agriculture,35.136667,GWh
2006,March,Other,164.2749124989499,GWh
2006,March,Free of Charge,117.87885335,GWh
2006,April,Residential,2446.42078,GWh
2006,April,Business,2046.0122899749956,GWh
2006,April,Industrial,5448.909656168733,GWh
2006,April,Government & Non-Profit,310.030919,GWh
2006,April,Agriculture,27.995449,GWh
2006,April,Other,159.65917107316585,GWh
2006,April,Free of Charge,115.6403608,GWh
2006,May,Residential,2403.273276,GWh
2006,May,Business,2129.356287460603,GWh
2006,May,Industrial,6029.811474908465,GWh
2006,May,Government & Non-Profit,317.806931,GWh
2006,May,Agriculture,17.774755,GWh
2006,May,Other,178.33926624772778,GWh
2006,May,Free of Charge,114.95134573,GWh
2006,June,Residential,2313.951989,GWh
2006,June,Business,2095.2495902694022,GWh
2006,June,Industrial,5867.624200987855,GWh
2006,June,Government & Non-Profit,353.256635,GWh
2006,June,Agriculture,15.236818,GWh
2006,June,Other,188.06038852692458,GWh
2006,June,Free of Charge,209.75381529,GWh
2006,July,Residential,2300.436208,GWh
2006,July,Business,2149.832848831643,GWh
2006,July,Industrial,5887.6188105981355,GWh
2006,July,Government & Non-Profit,357.05726,GWh
2006,July,Agriculture,19.217771,GWh
2006,July,Other,175.82969313906673,GWh
2006,July,Free of Charge,116.66507524,GWh
2006,August,Residential,2285.862112,GWh
2006,August,Business,2153.776467682202,GWh
2006,August,Industrial,5898.411311779907,GWh
2006,August,Government & Non-Profit,353.784421,GWh
2006,August,Agriculture,20.125907,GWh
2006,August,Other,183.50583230319427,GWh
2006,August,Free of Charge,119.20418188,GWh
2006,September,Residential,2273.097675,GWh
2006,September,Business,2084.513144815234,GWh
2006,September,Industrial,5815.582413880871,GWh
2006,September,Government & Non-Profit,376.813163,GWh
2006,September,Agriculture,10.840956,GWh
2006,September,Other,185.76092725713158,GWh
2006,September,Free of Charge,120.44555996,GWh
2006,October,Residential,2252.159918,GWh
2006,October,Business,2119.00174518427,GWh
2006,October,Industrial,5805.834327516774,GWh
2006,October,Government & Non-Profit,342.449602,GWh
2006,October,Agriculture,4.884018,GWh
2006,October,Other,193.83618906631932,GWh
2006,October,Free of Charge,125.64377134,GWh
2006,November,Residential,2251.648336,GWh
2006,November,Business,2144.805446248729,GWh
2006,November,Industrial,5737.418632674629,GWh
2006,November,Government & Non-Profit,337.953379,GWh
2006,November,Agriculture,10.012378,GWh
2006,November,Other,189.52061658229968,GWh
2006,November,Free of Charge,133.48286737,GWh
2006,December,Residential,2153.154021,GWh
2006,December,Business,1994.0234364861265,GWh
2006,December,Industrial,5387.9821197130495,GWh
2006,December,Government & Non-Profit,324.576867,GWh
2006,December,Agriculture,18.351515,GWh
2006,December,Other,185.94962939183017,GWh
2006,December,Free of Charge,135.56723393000001,GWh
2007,January,Residential,1912.230151,GWh
2007,January,Business,1924.410890734354,GWh
2007,January,Industrial,5510.289282068434,GWh
2007,January,Government & Non-Profit,290.131079,GWh
2007,January,Agriculture,31.916677,GWh
2007,January,Other,171.3511793562472,GWh
2007,January,Free of Charge,133.521926,GWh
2007,February,Residential,1954.590114,GWh
2007,February,Business,1978.325163626092,GWh
2007,February,Industrial,5545.12942489893,GWh
2007,February,Government & Non-Profit,297.293394,GWh
2007,February,Agriculture,36.922969,GWh
2007,February,Other,0,GWh
2007,February,Free of Charge,126.893847,GWh
2007,March,Residential,2486.206841,GWh
2007,March,Business,2282.481422101683,GWh
2007,March,Industrial,6225.204424228211,GWh
2007,March,Government & Non-Profit,358.790257,GWh
2007,March,Agriculture,37.62985,GWh
2007,March,Other,206.2961017181933,GWh
2007,March,Free of Charge,132.1598,GWh
2007,April,Residential,2556.700148,GWh
2007,April,Business,2200.053893515036,GWh
2007,April,Industrial,5579.731842733158,GWh
2007,April,Government & Non-Profit,333.052993,GWh
2007,April,Agriculture,33.08263,GWh
2007,April,Other,199.9382497815281,GWh
2007,April,Free of Charge,131.768475,GWh
2007,May,Residential,2491.491064,GWh
2007,May,Business,2247.198483205746,GWh
2007,May,Industrial,6136.252330761532,GWh
2007,May,Government & Non-Profit,343.229438,GWh
2007,May,Agriculture,12.556293,GWh
2007,May,Other,156.62611500529545,GWh
2007,May,Free of Charge,128.873429,GWh
2007,June,Residential,2551.850118,GWh
2007,June,Business,2315.207373659635,GWh
2007,June,Industrial,6036.758664846066,GWh
2007,June,Government & Non-Profit,399.971596,GWh
2007,June,Agriculture,16.453938,GWh
2007,June,Other,178.95829542380469,GWh
2007,June,Free of Charge,126.808652,GWh
2007,July,Residential,2403.096944,GWh
2007,July,Business,2252.852417198331,GWh
2007,July,Industrial,6078.61486291179,GWh
2007,July,Government & Non-Profit,393.182505,GWh
2007,July,Agriculture,27.914618,GWh
2007,July,Other,169.90808017120423,GWh
2007,July,Free of Charge,130.540558,GWh
2007,August,Residential,2439.958203,GWh
2007,August,Business,2264.495979309429,GWh
2007,August,Industrial,6112.019756034572,GWh
2007,August,Government & Non-Profit,380.299971,GWh
2007,August,Agriculture,22.2462,GWh
2007,August,Other,192.69982080304712,GWh
2007,August,Free of Charge,134.054901,GWh
2007,September,Residential,2402.248457,GWh
2007,September,Business,2236.2643425776046,GWh
2007,September,Industrial,6031.110153689356,GWh
2007,September,Government & Non-Profit,410.127213,GWh
2007,September,Agriculture,10.72114,GWh
2007,September,Other,168.48203068748455,GWh
2007,September,Free of Charge,136.516093,GWh
2007,October,Residential,2357.42349,GWh
2007,October,Business,2208.5693473084384,GWh
2007,October,Industrial,6117.327748473621,GWh
2007,October,Government & Non-Profit,353.573902,GWh
2007,October,Agriculture,8.794073,GWh
2007,October,Other,184.4542314550847,GWh
2007,October,Free of Charge,141.49442,GWh
2007,November,Residential,2222.446878,GWh
2007,November,Business,2082.808808739661,GWh
2007,November,Industrial,5964.086647103936,GWh
2007,November,Government & Non-Profit,333.940199,GWh
2007,November,Agriculture,11.092792,GWh
2007,November,Other,169.40037220064747,GWh
2007,November,Free of Charge,145.642041,GWh
2007,December,Residential,2159.742522,GWh
2007,December,Business,2133.518174463668,GWh
2007,December,Industrial,5763.825599284764,GWh
2007,December,Government & Non-Profit,336.203674,GWh
2007,December,Agriculture,18.434405,GWh
2007,December,Other,174.99082490856455,GWh
2007,December,Free of Charge,154.96439443,GWh
2008,January,Residential,2164.65073,GWh
2008,January,Business,2157.52450024597,GWh
2008,January,Industrial,5818.588305596752,GWh
2008,January,Government & Non-Profit,326.989261,GWh
2008,January,Agriculture,35.778718,GWh
2008,January,Other,183.87650381999958,GWh
2008,January,Free of Charge,159.019913,GWh
2008,February,Residential,2178.408555,GWh
2008,February,Business,2111.0408393767493,GWh
2008,February,Industrial,5702.746996282471,GWh
2008,February,Government & Non-Profit,330.357735,GWh
2008,February,Agriculture,35.28588,GWh
2008,February,Other,171.5366922635217,GWh
2008,February,Free of Charge,153.21921940000001,GWh
2008,March,Residential,2395.060175,GWh
2008,March,Business,2353.1591132973685,GWh
2008,March,Industrial,6384.487636867854,GWh
2008,March,Government & Non-Profit,354.999101,GWh
2008,March,Agriculture,43.276351,GWh
2008,March,Other,174.4906509749955,GWh
2008,March,Free of Charge,144.614943,GWh
2008,April,Residential,2688.771601,GWh
2008,April,Business,2342.1957067791122,GWh
2008,April,Industrial,5730.199244274185,GWh
2008,April,Government & Non-Profit,342.596313,GWh
2008,April,Agriculture,38.377554,GWh
2008,April,Other,188.3139723340259,GWh
2008,April,Free of Charge,141.338692,GWh
2008,May,Residential,2546.264742,GWh
2008,May,Business,2359.997682375096,GWh
2008,May,Industrial,6313.6279640568855,GWh
2008,May,Government & Non-Profit,357.160257,GWh
2008,May,Agriculture,14.467746,GWh
2008,May,Other,199.95837534957343,GWh
2008,May,Free of Charge,142.585969,GWh
2008,June,Residential,2454.19886,GWh
2008,June,Business,2346.5052073089914,GWh
2008,June,Industrial,6192.709825838307,GWh
2008,June,Government & Non-Profit,400.810305,GWh
2008,June,Agriculture,14.900989,GWh
2008,June,Other,170.87120032397573,GWh
2008,June,Free of Charge,141.09750222,GWh
2008,July,Residential,2498.38258,GWh
2008,July,Business,2376.077234542563,GWh
2008,July,Industrial,6313.545031493619,GWh
2008,July,Government & Non-Profit,394.767636,GWh
2008,July,Agriculture,26.561025,GWh
2008,July,Other,188.43534781699913,GWh
2008,July,Free of Charge,146.25121137,GWh
2008,August,Residential,2522.132059,GWh
2008,August,Business,2426.140411752585,GWh
2008,August,Industrial,6218.7947423818105,GWh
2008,August,Government & Non-Profit,410.596429,GWh
2008,August,Agriculture,20.504493,GWh
2008,August,Other,234.84052916750204,GWh
2008,August,Free of Charge,148.29565501,GWh
2008,September,Residential,2438.558982,GWh
2008,September,Business,2313.0271516894522,GWh
2008,September,Industrial,5905.433897299793,GWh
2008,September,Government & Non-Profit,426.588248,GWh
2008,September,Agriculture,13.86442,GWh
2008,September,Other,166.4436391548636,GWh
2008,September,Free of Charge,146.756369,GWh
2008,October,Residential,2550.143377,GWh
2008,October,Business,2355.590451950356,GWh
2008,October,Industrial,5898.128090077992,GWh
2008,October,Government & Non-Profit,384.8977,GWh
2008,October,Agriculture,11.860464,GWh
2008,October,Other,264.4118047687274,GWh
2008,October,Free of Charge,152.27712164,GWh
2008,November,Residential,2235.92035,GWh
2008,November,Business,2150.9287831188158,GWh
2008,November,Industrial,5400.934593256297,GWh
2008,November,Government & Non-Profit,354.22165,GWh
2008,November,Agriculture,5.979275,GWh
2008,November,Other,214.85823653988604,GWh
2008,November,Free of Charge,150.084524,GWh
2008,December,Residential,2018.723138,GWh
2008,December,Business,2003.0094197257001,GWh
2008,December,Industrial,4823.444145068667,GWh
2008,December,Government & Non-Profit,307.57721,GWh
2008,December,Agriculture,20.59963,GWh
2008,December,Other,222.74852991413672,GWh
2008,December,Free of Charge,151.889797,GWh
2009,January,Residential,2019.316807,GWh
2009,January,Business,1984.8065650165386,GWh
2009,January,Industrial,4700.124096269624,GWh
2009,January,Government & Non-Profit,299.805112,GWh
2009,January,Agriculture,38.06113,GWh
2009,January,Other,188.99556443931326,GWh
2009,January,Free of Charge,157.706901,GWh
2009,February,Residential,2210.097829,GWh
2009,February,Business,2135.9117985218204,GWh
2009,February,Industrial,4880.65410714411,GWh
2009,February,Government & Non-Profit,339.605186,GWh
2009,February,Agriculture,44.724893,GWh
2009,February,Other,199.05469609216692,GWh
2009,February,Free of Charge,144.293701,GWh
2009,March,Residential,2689.300119,GWh
2009,March,Business,2453.320191433269,GWh
2009,March,Industrial,5693.396763098803,GWh
2009,March,Government & Non-Profit,408.377351,GWh
2009,March,Agriculture,45.879076,GWh
2009,March,Other,202.77611826847925,GWh
2009,March,Free of Charge,158.163553,GWh
2009,April,Residential,2766.726174,GWh
2009,April,Business,2332.0173754183193,GWh
2009,April,Industrial,5165.492761376277,GWh
2009,April,Government & Non-Profit,347.889349,GWh
2009,April,Agriculture,33.134111,GWh
2009,April,Other,207.1604861925905,GWh
2009,April,Free of Charge,151.824994,GWh
2009,May,Residential,2740.119114,GWh
2009,May,Business,2393.203011864552,GWh
2009,May,Industrial,5847.614696554869,GWh
2009,May,Government & Non-Profit,390.77943,GWh
2009,May,Agriculture,20.17442,GWh
2009,May,Other,202.21958338872344,GWh
2009,May,Free of Charge,154.343574,GWh
2009,June,Residential,2590.734747,GWh
2009,June,Business,2390.051618689914,GWh
2009,June,Industrial,5785.334342761198,GWh
2009,June,Government & Non-Profit,427.475246,GWh
2009,June,Agriculture,18.991934,GWh
2009,June,Other,205.12807363329594,GWh
2009,June,Free of Charge,151.379428,GWh
2009,July,Residential,2609.814612,GWh
2009,July,Business,2396.145532958538,GWh
2009,July,Industrial,5923.005572579323,GWh
2009,July,Government & Non-Profit,411.845856,GWh
2009,July,Agriculture,24.069295,GWh
2009,July,Other,229.81252826134866,GWh
2009,July,Free of Charge,155.271981,GWh
2009,August,Residential,2700.777935,GWh
2009,August,Business,2470.9873050919696,GWh
2009,August,Industrial,6014.812325401548,GWh
2009,August,Government & Non-Profit,436.600895,GWh
2009,August,Agriculture,25.999077,GWh
2009,August,Other,230.0142713315049,GWh
2009,August,Free of Charge,159.292683,GWh
2009,September,Residential,2625.490591,GWh
2009,September,Business,2386.0786527251544,GWh
2009,September,Industrial,5935.72020391781,GWh
2009,September,Government & Non-Profit,468.041093,GWh
2009,September,Agriculture,16.937158,GWh
2009,September,Other,194.8320113488595,GWh
2009,September,Free of Charge,113.016432,GWh
2009,October,Residential,2601.094172,GWh
2009,October,Business,2379.2808490738516,GWh
2009,October,Industrial,6162.348530431682,GWh
2009,October,Government & Non-Profit,409.070013,GWh
2009,October,Agriculture,10.158358,GWh
2009,October,Other,222.35985939465675,GWh
2009,October,Free of Charge,165.26176030000002,GWh
2009,November,Residential,2438.462869,GWh
2009,November,Business,2249.6230098756805,GWh
2009,November,Industrial,5873.811548398129,GWh
2009,November,Government & Non-Profit,385.837474,GWh
2009,November,Agriculture,12.209803,GWh
