Year,Month,Tariff,Quantity,UNIT
2005,May,Medium  General,1864.719363,GWh
2005,May,Large General,4347.215487,GWh
2005,May,Specific  Business,317.346747,GWh
2005,May,Government & Nonprofit,346.099453,GWh
2005,May,Agriculture Pumping,21.929536,GWh
2005,May,Temporary,48.42922,GWh
2005,May,Stand By Rate,2.513571,GWh
2005,May,Interruptible Rate,185.281307,GWh
2005,May,Free of Charge,104.083275,GWh
2005,May,Direct Customer,161.693173,GWh
2005,June,Residential (< 150),656.512672,GWh
2005,June,Residential (> 150),1624.51021,GWh
2005,June,Small  General,1062.765867,GWh
2005,June,Medium  General,1833.313762,GWh
2005,June,Large General,4225.484892,GWh
2005,June,Specific  Business,302.507433,GWh
2005,June,Government & Nonprofit,360.938337,GWh
2005,June,Agriculture Pumping,16.69163,GWh
2005,June,Temporary,46.795153,GWh
2005,June,Stand By Rate,2.781869,GWh
2005,June,Interruptible Rate,172.882413,GWh
2005,June,Free of Charge,103.815814,GWh
2005,June,Direct Customer,173.311869,GWh
2005,July,Residential (< 150),620.200205,GWh
2005,July,Residential (> 150),1568.409722,GWh
2005,July,Small  General,1022.285473,GWh
2005,July,Medium  General,1788.004739,GWh
2005,July,Large General,4163.691352,GWh
2005,July,Specific  Business,304.859916,GWh
2005,July,Government & Nonprofit,340.800531,GWh
2005,July,Agriculture Pumping,19.397872,GWh
2005,July,Temporary,45.921694,GWh
2005,July,Stand By Rate,1.67609,GWh
2005,July,Interruptible Rate,173.619146,GWh
2005,July,Free of Charge,103.318574,GWh
2005,July,Direct Customer,172.277568,GWh
2005,August,Residential (< 150),600.520085,GWh
2005,August,Residential (> 150),1542.654341,GWh
2005,August,Small  General,1003.707096,GWh
2005,August,Medium  General,1780.888871,GWh
2005,August,Large General,4184.764275,GWh
2005,August,Specific  Business,310.221809,GWh
2005,August,Government & Nonprofit,333.946555,GWh
2005,August,Agriculture Pumping,18.296106,GWh
2005,August,Temporary,46.635762,GWh
2005,August,Stand By Rate,2.218465,GWh
2005,August,Interruptible Rate,167.791402,GWh
2005,August,Free of Charge,104.191097,GWh
2005,August,Direct Customer,163.430482,GWh
2005,September,Residential (< 150),598.814994,GWh
2005,September,Residential (> 150),1539.519437,GWh
2005,September,Small  General,1001.279619,GWh
2005,September,Medium  General,1781.24941,GWh
2005,September,Large General,4143.19558,GWh
2005,September,Specific  Business,293.618634,GWh
2005,September,Government & Nonprofit,359.517157,GWh
2005,September,Agriculture Pumping,10.465815,GWh
2005,September,Temporary,47.543382,GWh
2005,September,Stand By Rate,5.996337,GWh
2005,September,Interruptible Rate,174.785415,GWh
2005,September,Free of Charge,105.05958,GWh
2005,September,Direct Customer,153.607959,GWh
2005,October,Residential (< 150),625.861334,GWh
2005,October,Residential (> 150),1550.171642,GWh
2005,October,Small  General,1009.967943,GWh
2005,October,Medium  General,1803.409553,GWh
2005,October,Large General,4275.091059,GWh
2005,October,Specific  Business,297.544783,GWh
2005,October,Government & Nonprofit,314.650123,GWh
2005,October,Agriculture Pumping,13.376761,GWh
2005,October,Temporary,48.981196,GWh
2005,October,Stand By Rate,3.285166,GWh
2005,October,Interruptible Rate,177.268309,GWh
2005,October,Free of Charge,110.257575,GWh
2005,October,Direct Customer,156.629277,GWh
2005,November,Residential (< 150),598.585361,GWh
2005,November,Residential (> 150),1437.89173,GWh
2005,November,Small  General,960.366848,GWh
2005,November,Medium  General,1764.502528,GWh
2005,November,Large General,4145.692067,GWh
2005,November,Specific  Business,289.950103,GWh
2005,November,Government & Nonprofit,308.384786,GWh
2005,November,Agriculture Pumping,11.497776,GWh
2005,November,Temporary,47.139997,GWh
2005,November,Stand By Rate,10.652803,GWh
2005,November,Interruptible Rate,162.163873,GWh
2005,November,Free of Charge,108.419979,GWh
2005,November,Direct Customer,167.358742,GWh
2005,December,Residential (< 150),561.548712,GWh
2005,December,Residential (> 150),1295.100553,GWh
2005,December,Small  General,890.732147,GWh
2005,December,Medium  General,1660.755897,GWh
2005,December,Large General,3935.497752,GWh
2005,December,Specific  Business,269.411046,GWh
2005,December,Government & Nonprofit,276.41259,GWh
2005,December,Agriculture Pumping,15.474702,GWh
2005,December,Temporary,45.802968,GWh
2005,December,Stand By Rate,9.115661,GWh
2005,December,Interruptible Rate,185.759942,GWh
