Year,Month,LOAD,Quantity,UNIT
1999,March,LOAD FACTOR,80.79,%
1999,April,PEAK,13547.3,MW
1999,April,GENERATION,7391.287217,GWh
1999,April,LOAD FACTOR,75.77,%
1999,May,PEAK,13192.8,MW
1999,May,GENERATION,7685.860647,GWh
1999,May,LOAD FACTOR,78.3,%
1999,June,PEAK,13269.8,MW
1999,June,GENERATION,7744.623723,GWh
1999,June,LOAD FACTOR,81.05,%
1999,July,PEAK,13352.7,MW
1999,July,GENERATION,8104.396307,GWh
1999,July,LOAD FACTOR,81.57,%
1999,August,PEAK,13500.3,MW
1999,August,GENERATION,8014.675455,GWh
1999,August,LOAD FACTOR,79.79,%
1999,September,PEAK,13507,MW
1999,September,GENERATION,7946.833333,GWh
1999,September,LOAD FACTOR,81.71,%
1999,October,PEAK,13678,MW
1999,October,GENERATION,7934.019263,GWh
1999,October,LOAD FACTOR,77.96,%
1999,November,PEAK,13390.4,MW
1999,November,GENERATION,7676.609111,GWh
1999,November,LOAD FACTOR,79.62,%
1999,December,PEAK,12510.8,MW
1999,December,GENERATION,6927.032254,GWh
1999,December,LOAD FACTOR,74.41,%
2000,January,PEAK,13620.7,MW
2000,January,GENERATION,7707.038891,GWh
2000,January,LOAD FACTOR,76.05,%
2000,February,PEAK,14105.2,MW
2000,February,GENERATION,7393.210736,GWh
2000,February,LOAD FACTOR,75.3,%
2000,March,PEAK,14667.2,MW
2000,March,GENERATION,8605.918052,GWh
2000,March,LOAD FACTOR,78.86,%
2000,April,PEAK,14918.3,MW
2000,April,GENERATION,8009.25917,GWh
2000,April,LOAD FACTOR,74.56,%
2000,May,PEAK,14676.7,MW
2000,May,GENERATION,8749.926336,GWh
2000,May,LOAD FACTOR,80.13,%
2000,June,PEAK,14225.1,MW
2000,June,GENERATION,8421.159365,GWh
2000,June,LOAD FACTOR,82.22,%
2000,July,PEAK,14139.9,MW
2000,July,GENERATION,8452.125876,GWh
2000,July,LOAD FACTOR,80.34,%
2000,August,PEAK,13694.1,MW
2000,August,GENERATION,8538.788059,GWh
2000,August,LOAD FACTOR,83.8,%
2000,September,PEAK,14252,MW
2000,September,GENERATION,8324.624011,GWh
2000,September,LOAD FACTOR,81.12,%
2000,October,PEAK,14139.3,MW
2000,October,GENERATION,8495.262044,GWh
2000,October,LOAD FACTOR,80.75,%
2000,November,PEAK,14133.9,MW
2000,November,GENERATION,7819.692856,GWh
2000,November,LOAD FACTOR,76.84,%
2000,December,PEAK,14124.6,MW
2000,December,GENERATION,7970.380283,GWh
2000,December,LOAD FACTOR,75.84,%
2001,January,PEAK,14211.8,MW
2001,January,GENERATION,8124.494102,GWh
2001,January,LOAD FACTOR,76.83,%
2001,February,PEAK,14600.8,MW
2001,February,GENERATION,7914.251565,GWh
2001,February,LOAD FACTOR,80.66,%
2001,March,PEAK,15012.9,MW
2001,March,GENERATION,8927.355467,GWh
2001,March,LOAD FACTOR,79.92,%
2001,April,PEAK,16126.4,MW
2001,April,GENERATION,8981.724679,GWh
2001,April,LOAD FACTOR,77.35,%
2001,May,PEAK,15187.8,MW
2001,May,GENERATION,9090.052537,GWh
2001,May,LOAD FACTOR,80.44,%
2001,June,PEAK,14992.3,MW
2001,June,GENERATION,8897.527194,GWh
2001,June,LOAD FACTOR,82.42,%
2001,July,PEAK,15045.1,MW
2001,July,GENERATION,9013.35492,GWh
2001,July,LOAD FACTOR,80.52,%
2001,August,PEAK,15096.7,MW
2001,August,GENERATION,9057.494315,GWh
2001,August,LOAD FACTOR,80.64,%
2001,September,PEAK,15247.3,MW
2001,September,GENERATION,8833.589551,GWh
2001,September,LOAD FACTOR,80.46,%
2001,October,PEAK,14864.5,MW
2001,October,GENERATION,8846.557124,GWh
2001,October,LOAD FACTOR,79.99,%
2001,November,PEAK,14604.9,MW
2001,November,GENERATION,8072.097591,GWh
2001,November,LOAD FACTOR,76.76,%
2001,December,PEAK,14707.6,MW
2001,December,GENERATION,8097.401377,GWh
2001,December,LOAD FACTOR,73.99,%
2002,January,PEAK,14552.5,MW
2002,January,GENERATION,8261.92743,GWh
2002,January,LOAD FACTOR,76.3,%
2002,February,PEAK,15260.8,MW
2002,February,GENERATION,8187.951963,GWh
2002,February,LOAD FACTOR,79.84,%
2002,March,PEAK,16485.3,MW
2002,March,GENERATION,9687.113209,GWh
2002,March,LOAD FACTOR,78.98,%
2002,April,PEAK,16681.1,MW
2002,April,GENERATION,9378.358105,GWh
2002,April,LOAD FACTOR,78.08,%
2002,May,PEAK,16293.1,MW
2002,May,GENERATION,9654.668438,GWh
2002,May,LOAD FACTOR,79.64,%
2002,June,PEAK,16156.9,MW
2002,June,GENERATION,9488.201306,GWh
2002,June,LOAD FACTOR,81.56,%
2002,July,PEAK,16029.8,MW
2002,July,GENERATION,9751.999638,GWh
2002,July,LOAD FACTOR,81.76,%
2002,August,PEAK,15912.1,MW
2002,August,GENERATION,9599.533622,GWh
2002,August,LOAD FACTOR,81.08,%
2002,September,PEAK,15818.2,MW
2002,September,GENERATION,9339.209806,GWh
2002,September,LOAD FACTOR,82,%
2002,October,PEAK,15992.3,MW
2002,October,GENERATION,9574.544557,GWh
2002,October,LOAD FACTOR,80.47,%
2002,November,PEAK,16074.2,MW
2002,November,GENERATION,9179.93673,GWh
2002,November,LOAD FACTOR,79.31,%
2002,December,PEAK,15929.7,MW
2002,December,GENERATION,9152.385343,GWh
2002,December,LOAD FACTOR,77.22,%
2003,January,PEAK,15777.5,MW
2003,January,GENERATION,8977.877771,GWh
2003,January,LOAD FACTOR,76.48,%
2003,February,PEAK,16723.5,MW
2003,February,GENERATION,8818.915389,GWh
2003,February,LOAD FACTOR,78.47,%
2003,March,PEAK,17222.2,MW
2003,March,GENERATION,10215.11234,GWh
2003,March,LOAD FACTOR,79.72,%
2003,April,PEAK,17826.4,MW
2003,April,GENERATION,9963.102421,GWh
2003,April,LOAD FACTOR,77.62,%
2003,May,PEAK,18121.4,MW
2003,May,GENERATION,10540.07199,GWh
2003,May,LOAD FACTOR,78.18,%
2003,June,PEAK,17368.6,MW
2003,June,GENERATION,10011.52831,GWh
2003,June,LOAD FACTOR,80.06,%
2003,July,PEAK,17271.8,MW
2003,July,GENERATION,10052.41206,GWh
2003,July,LOAD FACTOR,78.23,%
2003,August,PEAK,17205.2,MW
2003,August,GENERATION,10263.59121,GWh
2003,August,LOAD FACTOR,80.18,%
2003,September,PEAK,16816.2,MW
2003,September,GENERATION,9961.816224,GWh
2003,September,LOAD FACTOR,82.28,%
2003,October,PEAK,16988.9,MW
2003,October,GENERATION,10266.4408,GWh
2003,October,LOAD FACTOR,81.22,%
2003,November,PEAK,17369.4,MW
2003,November,GENERATION,8865.139719,GWh
2003,November,LOAD FACTOR,70.89,%
2003,December,PEAK,16982.8,MW
2003,December,GENERATION,9354.43228,GWh
2003,December,LOAD FACTOR,74.03,%
2004,January,PEAK,16831.7,MW
2004,January,GENERATION,9586.193467,GWh
2004,January,LOAD FACTOR,76.55,%
2004,February,PEAK,17672.3,MW
2004,February,GENERATION,9586.028062,GWh
2004,February,LOAD FACTOR,77.94,%
2004,March,PEAK,19325.8,MW
2004,March,GENERATION,11201.64055,GWh
2004,March,LOAD FACTOR,77.91,%
2004,April,PEAK,19252.1,MW
2004,April,GENERATION,10776.63103,GWh
2004,April,LOAD FACTOR,77.74,%
2004,May,PEAK,18373.5,MW
2004,May,GENERATION,11176.69351,GWh
2004,May,LOAD FACTOR,81.76,%
2004,June,PEAK,18131.3,MW
2004,June,GENERATION,10648.42527,GWh
2004,June,LOAD FACTOR,81.57,%
2004,July,PEAK,17930.3,MW
2004,July,GENERATION,11107.64824,GWh
2004,July,LOAD FACTOR,83.26,%
2004,August,PEAK,18526.2,MW
2004,August,GENERATION,10922.96476,GWh
2004,August,LOAD FACTOR,79.25,%
2004,September,PEAK,18229.7,MW
2004,September,GENERATION,10780.23633,GWh
2004,September,LOAD FACTOR,82.13,%
2004,October,PEAK,18309.5,MW
2004,October,GENERATION,11058.52988,GWh
2004,October,LOAD FACTOR,81.18,%
2004,November,PEAK,18836.3,MW
